przedmiot,forma_zajec,typ_studiow,liczba_godzin
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie sieciowe","W","S2","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","W","UNKNOWN","2"
"Programowanie 2","L","N1","2"
"Programowanie 2","L","N1","2"
"Programowanie w językach skryptowych","W","UNKNOWN","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Programowanie sieciowe","L","S2","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie 2","L","N1","2"
"Programowanie 2","L","N1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","W","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie sieciowe","W","S2","2"
"Historia informatyki","W","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie 2","L","N1","2"
"Programowanie 2","L","N1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","W","UNKNOWN","2"
"Programowanie w językach skryptowych","W","UNKNOWN","2"
"Programowanie sieciowe","L","S2","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie 2","L","N1","2"
"Programowanie 2","L","N1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","W","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie sieciowe","W","S2","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","W","UNKNOWN","2"
"Programowanie 2","L","N1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie w językach skryptowych","W","UNKNOWN","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie 2","L","N1","2"
"Historia informatyki","W","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie sieciowe","W","S2","2"
"Historia informatyki","W","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie wizualne","W","UNKNOWN","6"
"Programowanie 2","L","N1","2"
"Programowanie wizualne","W","UNKNOWN","6"
"Programowanie w językach skryptowych","W","UNKNOWN","2"
"Programowanie sieciowe","L","S2","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie sieciowe","W","S2","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie wizualne","L","UNKNOWN","3"
"Programowanie wizualne","L","UNKNOWN","3"
"Programowanie wizualne","L","UNKNOWN","3"
"Programowanie wizualne","L","UNKNOWN","3"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie wizualne","L","UNKNOWN","3"
"Programowanie wizualne","L","UNKNOWN","3"
"Programowanie 2","L","N1","2"
"Programowanie wizualne","L","UNKNOWN","3"
"Programowanie wizualne","L","UNKNOWN","3"
"Programowanie w językach skryptowych","W","UNKNOWN","2"
"Programowanie sieciowe","L","S2","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie sieciowe","W","S2","2"
"Historia informatyki","W","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie 2","L","N1","2"
"Programowanie 2","L","N1","2"
"Historia informatyki","W","UNKNOWN","2"
"Programowanie 2","L","N1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","W","UNKNOWN","2"
"Programowanie sieciowe","L","S2","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie 2","L","N1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Historia informatyki","W","UNKNOWN","1"
"Programowanie 2","L","N1","2"
"Programowanie 2","L","N1","2"
"Programowanie sieciowe","L","S2","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie sieciowe","W","S2","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","W","UNKNOWN","2"
"Programowanie sieciowe","L","S2","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Systemy operacyjne II","L","S1","2"
"Programowanie w językach skryptowych","L","UNKNOWN","2"
"Historia informatyki","W","UNKNOWN","1"
"Systemy operacyjne II","L","S1","2"
"Systemy operacyjne II","L","S1","1"
"Programowanie w językach skryptowych","L","UNKNOWN","1"
"Systemy operacyjne II","L","S1","1"
"Programowanie 2","L","N1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie 2","L","N1","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie kart graficznych - Przedmiot obieralny IV","L","UNKNOWN","2"
"Programowanie w językach skryptowych","W","UNKNOWN","1"
"Programowanie sieciowe","L","S2","1"
"Programowanie w językach skryptowych","L","UNKNOWN","1"
"Systemy operacyjne II","L","S1","2"
"Programowanie sieciowe","W","S2","1"
"Programowanie w językach skryptowych","L","UNKNOWN","1"
